plantbarcode,experiment,datetime,jobdate,cameralabel,frameid,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype,idate,n_roi,n_uniqueroi
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,1,Fo,FvFm,0,19.6745,0.8152,0,0.0204,0,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,1,Fo,FvFm,1,55.8292,0.3793,0,0.0808,0,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,2,Fm,FvFm,0,106.4812,0.8152,0,0.0204,0,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,2,Fm,FvFm,1,89.1348,0.3793,0,0.0808,0,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,7,Fp,t40_ALon,0,31.2513,0.6999,0.0269,0.0142,0.0232,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,7,Fp,t40_ALon,1,59.8225,0.3194,0.025,0.0662,0.0247,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,8,Fmp,t40_ALon,0,103.9624,0.6999,0.0269,0.0142,0.0232,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,8,Fmp,t40_ALon,1,87.3146,0.3194,0.025,0.0662,0.0247,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,9,Fp,t60_ALon,0,57.1364,0.1102,0.6776,0.0348,0.2109,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,9,Fp,t60_ALon,1,28.3483,0.0609,1.9649,0.0508,0.3735,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,10,Fmp,t60_ALon,0,64.1255,0.1102,0.6776,0.0348,0.2109,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,10,Fmp,t60_ALon,1,30.0899,0.0609,1.9649,0.0508,0.3735,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,11,Fp,t80_ALon,0,40.6225,0.1582,1.2177,0.0401,0.2006,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,11,Fp,t80_ALon,1,21.6719,0.0728,2.8321,0.0583,0.3978,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,12,Fmp,t80_ALon,0,48.2654,0.1582,1.2177,0.0401,0.2006,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,12,Fmp,t80_ALon,1,23.2539,0.0728,2.8321,0.0583,0.3978,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,13,Fp,t100_ALon,0,35.6464,0.188,1.4288,0.0451,0.1887,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,13,Fp,t100_ALon,1,20.3146,0.0884,3.0135,0.0641,0.4169,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,14,Fmp,t100_ALon,0,43.9353,0.188,1.4288,0.0451,0.1887,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,14,Fmp,t100_ALon,1,22.218,0.0884,3.0135,0.0641,0.4169,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,15,Fp,t120_ALon,0,33.29,0.2124,1.5192,0.0486,0.1882,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,15,Fp,t120_ALon,1,20.2719,0.0961,2.9824,0.0674,0.4142,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,16,Fmp,t120_ALon,0,42.3209,0.2124,1.5192,0.0486,0.1882,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,16,Fmp,t120_ALon,1,22.3461,0.0961,2.9824,0.0674,0.4142,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,17,Fp,t140_ALon,0,31.7585,0.2344,1.5665,0.0509,0.2035,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,17,Fp,t140_ALon,1,20.6404,0.1041,2.8778,0.0712,0.4558,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,18,Fmp,t140_ALon,0,41.575,0.2344,1.5665,0.0509,0.2035,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,18,Fmp,t140_ALon,1,22.9865,0.1041,2.8778,0.0712,0.4558,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,19,Fp,t160_ALon,0,30.6858,0.2546,1.5878,0.0525,0.2219,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,19,Fp,t160_ALon,1,21.4,0.1136,2.6961,0.0701,0.4752,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,20,Fmp,t160_ALon,0,41.2808,0.2546,1.5878,0.0525,0.2219,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,20,Fmp,t160_ALon,1,24.1573,0.1136,2.6961,0.0701,0.4752,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,21,Fp,t180_ALon,0,29.8998,0.2708,1.5995,0.0532,0.2351,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,21,Fp,t180_ALon,1,22.6764,0.1273,2.4357,0.0718,0.4921,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,22,Fmp,t180_ALon,0,41.1561,0.2708,1.5995,0.0532,0.2351,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,22,Fmp,t180_ALon,1,26.0607,0.1273,2.4357,0.0718,0.4921,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,23,Fp,t200_ALon,0,29.0267,0.2855,1.6245,0.0541,0.2423,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,23,Fp,t200_ALon,1,24.0584,0.1355,2.2165,0.0698,0.4966,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,24,Fmp,t200_ALon,0,40.787,0.2855,1.6245,0.0541,0.2423,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,24,Fmp,t200_ALon,1,27.9753,0.1355,2.2165,0.0698,0.4966,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,25,Fp,t220_ALon,0,28.3026,0.2974,1.6473,0.0552,0.2491,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,25,Fp,t220_ALon,1,25.564,0.1458,1.9947,0.0651,0.468,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,26,Fmp,t220_ALon,0,40.4626,0.2974,1.6473,0.0552,0.2491,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,26,Fmp,t220_ALon,1,30.0607,0.1458,1.9947,0.0651,0.468,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,27,Fp,t240_ALon,0,27.7016,0.3037,1.6801,0.0571,0.2597,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,27,Fp,t240_ALon,1,27.0157,0.1447,1.8372,0.0594,0.4323,TRUE,TRUE,AP16,8,2,2
